Number,Artist,Firsts,Seconds,Thirds,Points,Podiums,Mean
134,Franz Ferdinand,0,1,0,2,1,2.00
135,fun.,0,1,0,2,1,2.00
136,The Killers,0,1,0,2,1,2.00
137,Freaky Fortune,0,1,0,2,1,2.00
138,Aerosmith,0,1,0,2,1,2.00
139,Tiny Dancers,0,1,0,2,1,2.00
140,Eugene Ormandy,0,1,0,2,1,2.00
141,Army Old Guard Fife and Drum Corps,0,1,0,2,1,2.00
142,Andrew W.K.,0,1,0,2,1,2.00
143,Dion & The Belmonts,0,1,0,2,1,2.00
144,Lost Frequencies,0,1,0,2,1,2.00
145,Fans Forever,0,1,0,2,1,2.00
146,Rea Garvey,0,1,0,2,1,2.00
147,Girls Aloud,0,1,0,2,1,2.00
148,Caesars,0,1,0,2,1,2.00
149,alt-J,0,1,0,2,1,2.00
150,The Asteroids Galaxy Tour,0,1,0,2,1,2.00
151,Rag'n'Bone Man,0,1,0,2,1,2.00
152,Adel Tawil,0,1,0,2,1,2.00
153,Emmelie de Forest,0,1,0,2,1,2.00
154,The Chainsmokers,0,1,0,2,1,2.00
155,Eliza Doolittle,0,1,0,2,1,2.00
156,Scissor Sisters,0,1,0,2,1,2.00
157,Tight Fit,0,1,0,2,1,2.00
158,Sergei Prokofiev,0,1,0,2,1,2.00
159,Blanco Brown,0,1,0,2,1,2.00
160,Amy Macdonald,0,1,0,2,1,2.00
161,KC and The Sunshine Band,0,1,0,2,1,2.00
162,Daddy Yankee,0,1,0,2,1,2.00
163,Ed Sheeran,0,1,0,2,1,2.00
164,Duran Duran,0,1,0,2,1,2.00
165,Jimi Hendrix,0,1,0,2,1,2.00
166,Lorenz Büffel,0,1,0,2,1,2.00
167,Eli Young Band,0,1,0,2,1,2.00
168,Ron Goodwin,0,1,0,2,1,2.00
169,Passenger,0,1,0,2,1,2.00
170,Alabama,0,1,0,2,1,2.00
171,The Musicmakers,0,0,2,2,2,1.00
172,Jamie Hartman,0,0,2,2,2,1.00
173,Beady Eye,0,0,2,2,2,1.00
174,Alligatoah,0,0,2,2,2,1.00
175,Hans Zimmer,0,0,2,2,2,1.00
176,Sia,0,0,2,2,2,1.00
177,Alexandra Burke,0,0,2,2,2,1.00
178,Jonathan Groff,0,0,2,2,2,1.00
179,Christopher Jackson,0,0,2,2,2,1.00
180,Lloyd,0,0,1,1,1,1.00
181,Biffy Clyro,0,0,1,1,1,1.00
182,James Daly,0,0,1,1,1,1.00
183,The Dave Clark Five,0,0,1,1,1,1.00
184,John Barry Orchestra,0,0,1,1,1,1.00
185,Pollapönk,0,0,1,1,1,1.00
186,Shakira,0,0,1,1,1,1.00
187,Dolly Parton,0,0,1,1,1,1.00
188,Billy Ray Cyrus,0,0,1,1,1,1.00
189,Macklemore & Ryan Lewis,0,0,1,1,1,1.00
190,Barenaked Ladies,0,0,1,1,1,1.00
191,MKTO,0,0,1,1,1,1.00
192,House of Pain,0,0,1,1,1,1.00
193,Elle King,0,0,1,1,1,1.00
194,DJ Jazzy Jeff & The Fresh Prince,0,0,1,1,1,1.00
195,CeeLo Green,0,0,1,1,1,1.00
196,Mika,0,0,1,1,1,1.00
197,MATOMA,0,0,1,1,1,1.00
198,Gloria Gaynor,0,0,1,1,1,1.00
199,Take That,0,0,1,1,1,1.00
200,Black Eyed Peas,0,0,1,1,1,1.00
